State,District,Functional_Sub_Centres,Functional_PHCs,Functional_CHCs,Functional_SDHs,Functional_DHs
Meghalaya,Ri Bhoi,35.0,10.0,3.0,0.0,1.0
Meghalaya,South Garo Hills,26.0,7.0,1.0,0.0,1.0
Meghalaya,South West Garo Hills,27.0,9.0,2.0,0.0,1.0
Meghalaya,South West Khasi Hills,21.0,4.0,2.0,0.0,0.0
Meghalaya,West Garo Hills,67.0,15.0,5.0,1.0,2.0
Meghalaya,West Jaintia Hills,46.0,15.0,3.0,0.0,1.0
Meghalaya,West Khasi Hills,46.0,17.0,2.0,0.0,2.0
Mizoram,Aizawl,67.0,12.0,3.0,1.0,2.0
Mizoram,Champhai,34.0,6.0,0.0,0.0,1.0
Mizoram,Hnahthial,14.0,5.0,0.0,0.0,1.0
Mizoram,Khawzawl,18.0,4.0,1.0,0.0,1.0
Mizoram,Kolasib,28.0,5.0,1.0,0.0,1.0
Mizoram,Lawngtlai,38.0,5.0,1.0,0.0,1.0
Mizoram,Lunglei,56.0,7.0,0.0,1.0,1.0
Mizoram,Mamit,39.0,8.0,1.0,0.0,1.0
Mizoram,Saitual,25.0,5.0,1.0,0.0,1.0
Mizoram,Serchhip,29.0,5.0,1.0,0.0,1.0
Mizoram,Siaha,25.0,4.0,0.0,0.0,1.0
Nagaland,Dimapur,54.0,12.0,2.0,0.0,1.0
Nagaland,Kiphire,25.0,4.0,1.0,0.0,1.0
Nagaland,Kohima,42.0,16.0,3.0,0.0,1.0
Nagaland,Longleng,10.0,3.0,0.0,0.0,1.0
Nagaland,Mokokchung,55.0,17.0,3.0,0.0,1.0
Nagaland,Mon,57.0,14.0,3.0,0.0,1.0
Nagaland,Noklak,19.0,3.0,0.0,0.0,1.0
Nagaland,Peren,18.0,7.0,2.0,0.0,1.0
Nagaland,Phek,49.0,22.0,4.0,0.0,1.0
Nagaland,Tuensang,36.0,11.0,1.0,0.0,1.0
Nagaland,Wokha,40.0,14.0,2.0,0.0,1.0
Nagaland,Zunheboto,47.0,13.0,2.0,0.0,1.0
Odisha,Anugul,166.0,32.0,9.0,3.0,1.0
Odisha,Balangir,226.0,48.0,15.0,2.0,1.0
Odisha,Baleshwar,275.0,74.0,17.0,1.0,1.0
Odisha,Bargarh,204.0,49.0,15.0,1.0,1.0
Odisha,Bhadrak,178.0,55.0,7.0,0.0,1.0
Odisha,Boudh,67.0,12.0,5.0,0.0,1.0
Odisha,Cuttack,332.0,73.0,22.0,2.0,1.0
Odisha,Deogarh,42.0,8.0,4.0,0.0,1.0
Odisha,Dhenkanal,167.0,38.0,10.0,2.0,1.0
Odisha,Gajapati,136.0,22.0,8.0,0.0,1.0
Odisha,Ganjam,460.0,101.0,28.0,4.0,1.0
Odisha,Jagatsinghapur,189.0,36.0,11.0,0.0,1.0
Odisha,Jajapur,260.0,63.0,12.0,0.0,1.0
Odisha,Jharsuguda,66.0,20.0,6.0,0.0,1.0
Odisha,Kalahandi,242.0,46.0,18.0,1.0,1.0
Odisha,Kendrapara,227.0,47.0,8.0,1.0,1.0
Odisha,Kendujhar,351.0,69.0,17.0,2.0,1.0
Odisha,Khordha,202.0,75.0,16.0,0.0,2.0
Odisha,Koraput,307.0,51.0,16.0,0.0,1.0
Odisha,Malkangiri,158.0,27.0,6.0,2.0,1.0
Odisha,Mayurbhanj,589.0,88.0,28.0,3.0,1.0
Odisha,Nabarangpur,289.0,42.0,10.0,1.0,1.0
Odisha,Nayagarh,166.0,38.0,12.0,1.0,1.0
Odisha,Nuapada,95.0,17.0,5.0,1.0,1.0
Odisha,Puri,241.0,52.0,17.0,0.0,1.0
Odisha,Rayagada,235.0,41.0,11.0,1.0,1.0
Odisha,Sambalpur,167.0,37.0,11.0,2.0,1.0
Odisha,Sonepur,89.0,20.0,5.0,1.0,1.0
Odisha,Sundargarh,390.0,71.0,21.0,1.0,2.0
Puducherry,Karaikal,17.0,11.0,1.0,0.0,1.0
Puducherry,Mahe,4.0,1.0,1.0,0.0,1.0
Puducherry,Pondicherry,56.0,27.0,2.0,0.0,1.0
Puducherry,Yanam,4.0,0.0,0.0,0.0,1.0
Punjab,Amritsar,179.0,44.0,8.0,2.0,1.0
Punjab,Barnala,71.0,12.0,4.0,1.0,1.0
Punjab,Bathinda,136.0,24.0,9.0,3.0,1.0
Punjab,Faridkot,62.0,11.0,3.0,1.0,1.0
Punjab,Fatehgarh Sahib,73.0,15.0,5.0,1.0,1.0
Punjab,Fazilka,109.0,22.0,6.0,1.0,1.0
Punjab,Ferozepur,122.0,19.0,4.0,1.0,1.0
Punjab,Gurdaspur,222.0,33.0,13.0,1.0,1.0
Punjab,Hoshiarpur,244.0,33.0,12.0,3.0,1.0
Punjab,Jalandhar,198.0,37.0,14.0,2.0,1.0
Punjab,Kapurthala,88.0,14.0,5.0,3.0,1.0
Punjab,Ludhiana,265.0,47.0,16.0,4.0,1.0
Punjab,Malerkotla,50.0,7.0,2.0,0.0,1.0
Punjab,Mansa,103.0,15.0,4.0,2.0,1.0
Punjab,Moga,122.0,23.0,6.0,0.0,1.0
Punjab,Pathankot,69.0,11.0,4.0,0.0,1.0
Punjab,Patiala,185.0,40.0,10.0,3.0,1.0
Punjab,Rupnagar,85.0,14.0,4.0,2.0,1.0
Punjab,S.A.S Nagar,76.0,19.0,5.0,2.0,1.0
Punjab,Sangrur,142.0,26.0,6.0,3.0,1.0
Punjab,Shahid Bhagat Singh Nagar,95.0,18.0,4.0,1.0,1.0
Punjab,Sri Muktsar Sahib,102.0,20.0,5.0,3.0,1.0
Punjab,Tarn Taran,153.0,18.0,11.0,2.0,1.0
Rajasthan,Ajmer,369.0,84.0,25.0,2.0,2.0
Rajasthan,Alwar,697.0,129.0,42.0,0.0,1.0
Rajasthan,Banswara,455.0,58.0,22.0,0.0,1.0
Rajasthan,Baran,268.0,52.0,14.0,0.0,1.0
Rajasthan,Barmer,729.0,106.0,26.0,1.0,1.0
Rajasthan,Bharatpur,396.0,74.0,26.0,0.0,0.0
Rajasthan,Bhilwara,523.0,84.0,27.0,0.0,0.0
Rajasthan,Bikaner,420.0,71.0,18.0,0.0,0.0
Rajasthan,Bundi,205.0,33.0,14.0,0.0,1.0
Rajasthan,Churu,442.0,99.0,18.0,2.0,1.0
Rajasthan,Dausa,320.0,48.0,17.0,0.0,1.0
Rajasthan,Dholpur,234.0,34.0,8.0,1.0,1.0
Rajasthan,Dungarpur,346.0,60.0,16.0,1.0,1.0
Rajasthan,Ganganagar,419.0,63.0,18.0,0.0,1.0
Rajasthan,Hanumangarh,360.0,60.0,17.0,0.0,1.0
Rajasthan,Jaipur,628.0,182.0,41.0,0.0,1.0
Rajasthan,Jaisalmer,155.0,25.0,11.0,0.0,1.0
Rajasthan,Jalore,408.0,71.0,12.0,0.0,1.0
Rajasthan,Jhalawar,323.0,45.0,14.0,0.0,0.0
Rajasthan,Jhunjhunu,599.0,115.0,28.0,1.0,1.0
Rajasthan,Jodhpur,649.0,109.0,27.0,0.0,2.0
Rajasthan,Karauli,281.0,36.0,17.0,1.0,1.0
Rajasthan,Kota,190.0,61.0,16.0,0.0,0.0
Rajasthan,Nagaur,798.0,136.0,34.0,5.0,1.0
Rajasthan,Pali,475.0,86.0,26.0,1.0,1.0
Rajasthan,Pratapgarh,204.0,34.0,8.0,0.0,1.0
Rajasthan,Rajsamand,262.0,44.0,16.0,1.0,1.0
Rajasthan,Sawai Madhopur,269.0,41.0,15.0,1.0,1.0
Rajasthan,Sikar,644.0,115.0,32.0,3.0,2.0
Rajasthan,Sirohi,223.0,30.0,10.0,0.0,1.0
Rajasthan,Tonk,294.0,63.0,12.0,0.0,1.0
Rajasthan,Udaipur,621.0,110.0,33.0,1.0,0.0
Sikkim,Gangtok,54.0,8.0,1.0,1.0,1.0
Sikkim,Gyalshing,41.0,7.0,0.0,0.0,1.0
Sikkim,Mangan,19.0,5.0,0.0,0.0,1.0
Sikkim,Namchi,39.0,6.0,1.0,0.0,1.0
Tamil Nadu,Ariyalur,117.0,33.0,6.0,3.0,0.0
Tamil Nadu,Chengalpattu,221.0,41.0,8.0,7.0,0.0
Tamil Nadu,Chennai,0.0,144.0,15.0,5.0,0.0
Tamil Nadu,Coimbatore,328.0,77.0,12.0,12.0,1.0
Tamil Nadu,Cuddalore,319.0,58.0,13.0,9.0,1.0
Tamil Nadu,Dharmapuri,218.0,43.0,8.0,3.0,1.0
Tamil Nadu,Dindigul,311.0,59.0,14.0,12.0,0.0
Tamil Nadu,Erode,311.0,62.0,14.0,7.0,1.0
Tamil Nadu,Kallakurichi,212.0,36.0,9.0,4.0,0.0
Tamil Nadu,Kanchipuram,143.0,23.0,5.0,3.0,1.0
Tamil Nadu,Kanniyakumari,267.0,38.0,9.0,8.0,1.0
Tamil Nadu,Karur,168.0,29.0,8.0,6.0,1.0
Tamil Nadu,Krishnagiri,239.0,51.0,10.0,6.0,0.0
Tamil Nadu,Madurai,314.0,75.0,13.0,6.0,1.0
Tamil Nadu,Mayiladuthurai,147.0,26.0,5.0,5.0,0.0
Tamil Nadu,Nagapattinam,111.0,21.0,6.0,6.0,0.0
Tamil Nadu,Namakkal,240.0,48.0,15.0,8.0,0.0
Tamil Nadu,Perambalur,90.0,25.0,4.0,3.0,1.0
Tamil Nadu,Pudukkottai,242.0,63.0,13.0,12.0,1.0
Tamil Nadu,Ramanathapuram,244.0,48.0,11.0,9.0,0.0
Tamil Nadu,Salem,398.0,87.0,20.0,11.0,1.0
Tamil Nadu,Sivaganga,275.0,40.0,12.0,16.0,1.0
Tamil Nadu,Tenkasi,177.0,42.0,10.0,8.0,1.0
Tamil Nadu,Thanjavur,309.0,63.0,14.0,13.0,1.0
Tamil Nadu,The Nilgiris,194.0,33.0,4.0,5.0,0.0
Tamil Nadu,Theni,162.0,33.0,8.0,5.0,1.0
Tamil Nadu,Thiruvallur,303.0,54.0,14.0,11.0,0.0
Tamil Nadu,Thiruvarur,195.0,40.0,10.0,7.0,1.0
Tamil Nadu,Tiruchirappalli,307.0,70.0,14.0,9.0,1.0
Tamil Nadu,Tirunelveli,202.0,43.0,9.0,8.0,0.0
Tamil Nadu,Tirupathur,122.0,30.0,7.0,4.0,0.0
Tamil Nadu,Tiruppur,242.0,54.0,13.0,9.0,0.0
Tamil Nadu,Tiruvannamalai,410.0,81.0,18.0,9.0,1.0
Tamil Nadu,Tuticorin,253.0,48.0,12.0,8.0,1.0
Tamil Nadu,Vellore,178.0,39.0,7.0,4.0,0.0
Tamil Nadu,Villupuram,345.0,52.0,13.0,7.0,0.0
Tamil Nadu,Virudhunagar,245.0,47.0,11.0,10.0,0.0
Telangana,Adilabad,126.0,27.0,1.0,1.0,0.0
Telangana,Bhadradri Kothagudem,240.0,34.0,4.0,2.0,0.0
Telangana,Hanumakonda,81.0,26.0,0.0,0.0,0.0
Telangana,Hyderabad,133.0,85.0,9.0,3.0,1.0
Telangana,Jagitial,151.0,22.0,2.0,1.0,0.0
Telangana,Jangoan,104.0,13.0,0.0,0.0,0.0
Telangana,Jayashankar Bhupalapally,92.0,13.0,2.0,0.0,0.0
Telangana,Jogulamba Gadwal,91.0,13.0,1.0,1.0,0.0
Telangana,Kamareddy,169.0,20.0,6.0,2.0,0.0
Telangana,Karimnagar,139.0,22.0,2.0,0.0,1.0
Telangana,Khammam,224.0,30.0,1.0,2.0,1.0
Telangana,Kumuram Bheem Asifabad,106.0,22.0,1.0,1.0,0.0
Telangana,Mahabubabad,172.0,21.0,2.0,1.0,0.0
Telangana,Mahabubnagar,129.0,23.0,2.0,0.0,0.0
Telangana,Mancherial,121.0,21.0,3.0,1.0,0.0
Telangana,Medak,155.0,20.0,2.0,1.0,0.0
Telangana,Medchal Malkajgiri,154.0,36.0,1.0,2.0,0.0
Telangana,Mulugu,87.0,13.0,2.0,1.0,0.0
Telangana,Nagarkurnool,178.0,25.0,3.0,1.0,0.0
Telangana,Nalgonda,257.0,37.0,1.0,3.0,0.0
Telangana,Narayanpet,87.0,13.0,2.0,1.0,0.0
Telangana,Nirmal,102.0,20.0,1.0,2.0,0.0
Telangana,Nizamabad,225.0,32.0,8.0,1.0,0.0
Telangana,Peddapalli,104.0,21.0,2.0,1.0,0.0
Telangana,Rajanna Sircilla,89.0,15.0,0.0,1.0,0.0
Telangana,Ranga Reddy,265.0,40.0,6.0,3.0,0.0
Telangana,Sangareddy,245.0,34.0,2.0,4.0,1.0
Telangana,Siddipet,191.0,34.0,3.0,0.0,0.0
Telangana,Suryapet,161.0,26.0,3.0,1.0,0.0
Telangana,Vikarabad,154.0,22.0,3.0,1.0,1.0
Telangana,Warangal,143.0,19.0,3.0,0.0,0.0
Telangana,Yadadri Bhuvanagiri,137.0,21.0,2.0,2.0,0.0
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,71.0,10.0,2.0,1.0,0.0
The Dadra And Nagar Haveli And Daman And Diu,Daman,20.0,3.0,1.0,0.0,1.0
The Dadra And Nagar Haveli And Daman And Diu,Diu,6.0,1.0,1.0,0.0,1.0
Tripura,Dhalai,121.0,16.0,2.0,3.0,1.0
Tripura,Gomati,145.0,11.0,3.0,2.0,1.0
Tripura,Khowai,104.0,10.0,1.0,1.0,1.0
Tripura,North Tripura,99.0,16.0,4.0,1.0,1.0
Tripura,Sepahijala,142.0,15.0,4.0,2.0,0.0
Tripura,South Tripura,148.0,18.0,5.0,2.0,1.0
Tripura,Unakoti,70.0,11.0,1.0,1.0,1.0
Tripura,West Tripura,171.0,20.0,3.0,0.0,1.0
Uttar Pradesh,Agra,395.0,73.0,18.0,0.0,2.0
Uttar Pradesh,Aligarh,333.0,53.0,13.0,0.0,4.0
Uttar Pradesh,Ambedkar Nagar,272.0,28.0,10.0,0.0,1.0
Uttar Pradesh,Amethi,213.0,33.0,13.0,0.0,0.0
Uttar Pradesh,Amroha,175.0,32.0,8.0,0.0,2.0
Uttar Pradesh,Auraiya,165.0,25.0,8.0,0.0,2.0
Uttar Pradesh,Ayodhya,249.0,34.0,12.0,0.0,4.0
Uttar Pradesh,Azamgarh,492.0,75.0,19.0,0.0,4.0
Uttar Pradesh,Baghpat,206.0,25.0,7.0,0.0,1.0
Uttar Pradesh,Bahraich,319.0,56.0,14.0,0.0,2.0
Uttar Pradesh,Balrampur,215.0,26.0,9.0,0.0,3.0
Uttar Pradesh,Banda,277.0,53.0,4.0,0.0,2.0
Uttar Pradesh,Barabanki,352.0,57.0,19.0,0.0,3.0
Uttar Pradesh,Bareilly,410.0,71.0,16.0,0.0,2.0
Uttar Pradesh,Basti,273.0,41.0,14.0,0.0,3.0
Uttar Pradesh,Bhadohi,161.0,17.0,6.0,0.0,2.0
Uttar Pradesh,Bijnor,343.0,62.0,11.0,0.0,2.0
Uttar Pradesh,Budaun,291.0,51.0,14.0,0.0,2.0
Uttar Pradesh,Bulandshahr,346.0,68.0,13.0,0.0,4.0
Uttar Pradesh,Chandauli,248.0,30.0,4.0,0.0,4.0
Uttar Pradesh,Chitrakoot,134.0,28.0,6.0,0.0,1.0
Uttar Pradesh,Etah,191.0,34.0,4.0,0.0,2.0
Uttar Pradesh,Etawah,167.0,34.0,8.0,0.0,3.0
Uttar Pradesh,Farrukhabad,214.0,31.0,8.0,0.0,3.0
Uttar Pradesh,Fatehpur,321.0,47.0,11.0,0.0,2.0
Uttar Pradesh,Firozabad,217.0,71.0,5.0,0.0,3.0
Uttar Pradesh,Gautam Buddha Nagar,128.0,37.0,5.0,0.0,2.0
Uttar Pradesh,Ghaziabad,146.0,66.0,4.0,0.0,3.0
Uttar Pradesh,Ghazipur,399.0,60.0,17.0,0.0,2.0
Uttar Pradesh,Gonda,322.0,52.0,16.0,0.0,2.0
Uttar Pradesh,Gorakhpur,532.0,85.0,15.0,0.0,2.0
Uttar Pradesh,Hamirpur,214.0,41.0,4.0,0.0,2.0
Uttar Pradesh,Hapur,181.0,26.0,6.0,0.0,1.0
Uttar Pradesh,Hardoi,433.0,50.0,20.0,0.0,2.0
Uttar Pradesh,Hathras,194.0,27.0,7.0,0.0,2.0
Uttar Pradesh,Jalaun,287.0,41.0,7.0,0.0,2.0
Uttar Pradesh,Jaunpur,507.0,83.0,22.0,0.0,2.0
Uttar Pradesh,Jhansi,338.0,45.0,12.0,0.0,2.0
Uttar Pradesh,Kannauj,189.0,35.0,11.0,0.0,2.0
Uttar Pradesh,Kanpur Dehat,240.0,30.0,8.0,0.0,2.0
Uttar Pradesh,Kanpur Nagar,391.0,92.0,10.0,0.0,5.0
Uttar Pradesh,Kasganj,170.0,31.0,7.0,0.0,1.0
Uttar Pradesh,Kaushambi,156.0,34.0,5.0,0.0,1.0
Uttar Pradesh,Kheri,386.0,62.0,15.0,0.0,2.0
Uttar Pradesh,Kushi Nagar,367.0,55.0,16.0,0.0,1.0
Uttar Pradesh,Lalitpur,197.0,26.0,5.0,0.0,2.0
Uttar Pradesh,Lucknow,303.0,79.0,19.0,0.0,9.0
Uttar Pradesh,Mahoba,150.0,16.0,5.0,0.0,2.0
Uttar Pradesh,Mahrajganj,291.0,40.0,12.0,0.0,1.0
Uttar Pradesh,Mainpuri,206.0,46.0,10.0,0.0,2.0
Uttar Pradesh,Mathura,206.0,34.0,12.0,0.0,3.0
Uttar Pradesh,Mau,225.0,43.0,6.0,0.0,2.0
Uttar Pradesh,Meerut,279.0,57.0,12.0,0.0,2.0
Uttar Pradesh,Mirzapur,263.0,39.0,16.0,0.0,2.0
Uttar Pradesh,Moradabad,259.0,56.0,7.0,0.0,2.0
Uttar Pradesh,Muzaffarnagar,286.0,47.0,7.0,0.0,2.0
Uttar Pradesh,Pilibhit,199.0,28.0,9.0,0.0,2.0
Uttar Pradesh,Pratapgarh,355.0,60.0,21.0,0.0,2.0
Uttar Pradesh,Prayagraj,581.0,86.0,20.0,0.0,5.0
Uttar Pradesh,Rae Bareli,352.0,53.0,19.0,0.0,2.0
Uttar Pradesh,Rampur,211.0,35.0,5.0,0.0,2.0
Uttar Pradesh,Saharanpur,363.0,62.0,21.0,0.0,2.0
Uttar Pradesh,Sambhal,216.0,31.0,10.0,0.0,1.0
Uttar Pradesh,Sant Kabir Nagar,183.0,23.0,4.0,0.0,1.0
Uttar Pradesh,Shahjahanpur,298.0,47.0,17.0,0.0,2.0
Uttar Pradesh,Shamli,135.0,26.0,7.0,0.0,1.0
Uttar Pradesh,Shrawasti,125.0,12.0,6.0,0.0,1.0
Uttar Pradesh,Siddharth Nagar,278.0,64.0,8.0,0.0,1.0
Uttar Pradesh,Sitapur,474.0,67.0,21.0,0.0,2.0
Uttar Pradesh,Sonbhadra,173.0,31.0,7.0,0.0,2.0
Uttar Pradesh,Sultanpur,246.0,45.0,14.0,0.0,2.0
Uttar Pradesh,Unknown Districts Of India,367.0,77.0,14.0,0.0,2.0
Uttar Pradesh,Unnao,361.0,48.0,17.0,0.0,2.0
Uttarakhand,Almora,203.0,65.0,9.0,2.0,1.0
Uttarakhand,Bageshwar,89.0,29.0,3.0,0.0,1.0
Uttarakhand,Chamoli,111.0,39.0,5.0,1.0,1.0
Uttarakhand,Champawat,66.0,18.0,1.0,1.0,1.0
Uttarakhand,Dehradun,181.0,57.0,5.0,4.0,1.0
Uttarakhand,Haridwar,160.0,41.0,8.0,2.0,1.0
Uttarakhand,Nainital,136.0,48.0,10.0,4.0,1.0
Uttarakhand,Pauri Garhwal,225.0,94.0,13.0,2.0,1.0
Uttarakhand,Pithoragarh,161.0,54.0,4.0,0.0,1.0
Uttarakhand,Rudra Prayag,75.0,38.0,2.0,0.0,1.0
Uttarakhand,Tehri Garhwal,208.0,54.0,11.0,1.0,1.0
Uttarakhand,Udam Singh Nagar,154.0,41.0,5.0,2.0,1.0
Uttarakhand,Uttar Kashi,82.0,29.0,4.0,0.0,1.0
West Bengal,Alipurduar,236.0,14.0,7.0,1.0,1.0
West Bengal,Bankura,564.0,73.0,22.0,1.0,1.0
West Bengal,Birbhum,484.0,62.0,19.0,1.0,1.0
West Bengal,Coochbehar,406.0,38.0,12.0,4.0,0.0
West Bengal,Dakshin Dinajpur,248.0,22.0,8.0,1.0,1.0
West Bengal,Darjeeling,181.0,28.0,9.0,1.0,2.0
West Bengal,Hooghly,660.0,89.0,18.0,4.0,1.0
West Bengal,Howrah,448.0,74.0,15.0,7.0,1.0
West Bengal,Jalpaiguri,301.0,27.0,7.0,1.0,1.0
West Bengal,Jhargram,219.0,26.0,8.0,0.0,1.0
West Bengal,Kalimpong,49.0,6.0,3.0,0.0,1.0
West Bengal,Kolkata,0.0,144.0,0.0,0.0,0.0
West Bengal,Malda,511.0,40.0,16.0,1.0,0.0
West Bengal,Murshidabad,832.0,83.0,27.0,4.0,0.0
West Bengal,Nadia,469.0,64.0,17.0,5.0,1.0
West Bengal,North 24 Parganas,742.0,149.0,22.0,10.0,2.0
West Bengal,Paschim Bardhaman,173.0,64.0,9.0,1.0,1.0
West Bengal,Paschim Medinipur,639.0,67.0,21.0,2.0,0.0
West Bengal,Purba Bardhaman,592.0,83.0,25.0,2.0,0.0
West Bengal,Purba Medinipur,706.0,59.0,24.0,4.0,2.0
West Bengal,Purulia,485.0,56.0,20.0,1.0,0.0
West Bengal,South 24 Parganas,1068.0,79.0,30.0,7.0,1.0
West Bengal,Uttar Dinajpur,344.0,24.0,9.0,2.0,0.0
